pony_id    ,date,show,event,competition,obs_height,athlete,position,score
1334,18/12/2016,Lier,CSI1*,Grand Prix Table A,125,Elke APPELTANS (BEL),11,4/62.68
1334,17/12/2016,Lier,CSI1*,Table A,120,Elke APPELTANS (BEL),2,0/54.75
1334,16/12/2016,Lier,CSI1*,Two Phases,120,Elke APPELTANS (BEL),21,0/4/33.34
1334,07/08/2016,Le Touquet,CSI1*,"Table A - T A, one round atc with one ju...",125,Elke APPELTANS (BEL),53,8/78.55
1334,06/08/2016,Le Touquet,CSI1*,"Table A - T A, one round atc",120,Elke APPELTANS (BEL),47,8/66.90
1334,05/08/2016,Le Touquet,CSI1*,"Two Phases - ""Temps différé"". First phase not atc T A. Second phase T A atc, pts of both phases are aggregated",120,Elke APPELTANS (BEL),53,4/35.48
1334,23/07/2016,Hasselt,CSI2*,Table A,120,Elke APPELTANS (BEL),2,0/0/32.11
1334,22/07/2016,Hasselt,CSI2*,Two Phases,120,Elke APPELTANS (BEL),1,0/0/28.50
1334,21/07/2016,Hasselt,CSI2*,Table A,120,Elke APPELTANS (BEL),1,0/62.14
1334,15/05/2016,Opglabbeek,CSI1*,Table A,120,Elke APPELTANS (BEL),4,0/0/34.64
1334,14/05/2016,Opglabbeek,CSI1*,Table A,120,Elke APPELTANS (BEL),5,0/64.10
1334,13/05/2016,Opglabbeek,CSI1*,Two Phases,120,Elke APPELTANS (BEL),33,0/4/31.40
1334,31/05/2015,Bonheiden,CSIP,Table C,110,Luca MERCENIER (BEL),8,67.08
1334,30/05/2015,Bonheiden,CSIP,Two Phases,120,Luca MERCENIER (BEL),EL,R1 el
1334,29/05/2015,Bonheiden,CSIP,Table A,120,Luca MERCENIER (BEL),14,6/83.44
1334,03/05/2015,Lier,CSIOP,Table A,125,Luca MERCENIER (BEL),27,4/80.14
1334,01/05/2015,Lier,CSIOP,Two Phases,120,Luca MERCENIER (BEL),7,0/59.18/0/41.40
1334,01/05/2015,Lier,CSIOP,Nations Cup,125,Luca MERCENIER (BEL),1,08-Sep
1334,19/04/2015,Lier,CSIP,Table A,125,Luca MERCENIER (BEL),21,8/68.64
1334,18/04/2015,Lier,CSIP,Table A,120,Luca MERCENIER (BEL),12,4/59.99
1334,17/04/2015,Lier,CSIP,Two Phases,120,Luca MERCENIER (BEL),13,0/52.26/7/53.25
1334,12/04/2015,Bonheiden,CSIP,Grand Prix Table A,125,Luca MERCENIER (BEL),EL,R1 el
1334,11/04/2015,Bonheiden,CSIP,Table A,120,Luca MERCENIER (BEL),14,0/4/43.69
1334,10/04/2015,Bonheiden,CSIP,Table A,120,Luca MERCENIER (BEL),31,0/77.30
1334,23/11/2014,Neeroeteren,CSIP,Table A,115,Elke APPELTANS (BEL),34,4/56.87
1334,22/11/2014,Neeroeteren,CSIP,Two Phases,115,Elke APPELTANS (BEL),10,0/0/30.57
1334,21/11/2014,Neeroeteren,CSIP,Two Phases,115,Elke APPELTANS (BEL),13,0/0/28.63
1334,18/05/2014,Bonheiden,CSIOP,Two Phases,110,Elke APPELTANS (BEL),21,0/44.00/4/37.02
1334,17/05/2014,Bonheiden,CSIOP,Nations Cup,130,Elke APPELTANS (BEL),3,el
1334,16/05/2014,Bonheiden,CSIOP,Table A,120,Elke APPELTANS (BEL),19,1/74.02
1334,04/05/2014,Lier,CSIP,Table A,125,Elke APPELTANS (BEL),4,0/0/27.83
1334,03/05/2014,Lier,CSIP,Table A,120,Elke APPELTANS (BEL),13,1/73.69
1334,02/05/2014,Lier,CSIP,Table A,120,Elke APPELTANS (BEL),10,0/73.81
1334,13/04/2014,Bonheiden,CSIP,Table A,125,Elke APPELTANS (BEL),7,1/74.40
1334,12/04/2014,Bonheiden,CSIP,Table A,120,Elke APPELTANS (BEL),18,0/8/47.44
1334,11/04/2014,Bonheiden,CSIP,Table A,120,Elke APPELTANS (BEL),16,0/64.01
1334,24/11/2013,Neeroeteren,CSIP,Table A,115,Elke APPELTANS (BEL),24,0/69.76
1334,23/11/2013,Neeroeteren,CSIP,Team,120-125,Elke APPELTANS (BEL),17,EL
1334,22/11/2013,Neeroeteren,CSIP,Two Phases,115,Elke APPELTANS (BEL),18,0/43.68/0/31.92
1334,07/06/2013,Wierden,CSIOP,Table A,130,Elke APPELTANS (BEL),16,14/97.50
1334,05/06/2013,Wierden,CSIOP,Table A,125,Elke APPELTANS (BEL),RET,R1 RET
1334,05/05/2013,Lommel,CSIOP,Table A,135,Elke APPELTANS (BEL),10,4/83.19
1334,02/05/2013,Lommel,CSIOP,Two Phases,125,Elke APPELTANS (BEL),8,0/57.55/4/28.93
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
